,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Bonthe,SL,77.4,overcast clouds,7.53,-12.51,No hotel found
508,Tutóia,BR,77.43,broken clouds,-2.76,-42.27,Pousada San Vicente
509,Tessalit,ML,77.45,broken clouds,20.2,1.01,No hotel found
510,Praia,CV,77.54,clear sky,14.92,-23.51,Boutique Hotel Praia Maria
511,Tabou,CI,77.61,overcast clouds,4.42,-7.35,hôtel le rochet
512,Young,UY,77.61,clear sky,-32.68,-57.63,Hotel El Galeon
513,Vila do Maio,CV,77.79,clear sky,15.13,-23.22,Residencial Jardins De Maio
514,Ndélé,CF,77.83,overcast clouds,8.41,20.65,No hotel found
515,Ikom,NG,77.83,light rain,5.97,8.71,Gold Palm Hotels
516,Huai'an,CN,77.86,light rain,33.59,119.02,No hotel found
517,Port Macquarie,AU,77.9,scattered clouds,-31.43,152.92,The Observatory
518,San Cristobal,EC,77.9,overcast clouds,-0.9,-89.62,San Francisco
519,Harper,LR,78.21,overcast clouds,4.38,-7.72,No hotel found
520,Georgetown,SH,78.28,overcast clouds,-7.93,-14.42,Obsidian Hotel
521,Margate,ZA,78.39,clear sky,-30.86,30.37,Margate
522,Mongo,TD,78.39,broken clouds,12.18,18.69,No hotel found
523,Ampanihy,MG,78.39,clear sky,-24.7,44.75,Hotel restaurant Angora
524,Touros,BR,78.51,few clouds,-5.2,-35.46,Pousada Atlântico
525,Salalah,OM,78.62,overcast clouds,17.02,54.09,Al Tawazan Modern Lodge
526,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti International Resort
527,Ballina,AU,79.02,broken clouds,-28.87,153.57,Ballina Beach Resort
528,Soyo,AO,79.03,light rain,-6.13,12.37,No hotel found
529,Takoradze,GH,79.07,overcast clouds,4.88,-1.76,Valley Beach
530,Nacala,MZ,79.07,overcast clouds,-14.54,40.67,Indico Apart Hotel 2
531,Rikitea,PF,79.12,light rain,-23.12,-134.97,Chez Bianca & Benoit
532,Busselton,AU,79.14,few clouds,-33.65,115.33,Broadwater Beach Resort
533,Beloha,MG,79.21,clear sky,-25.17,45.05,Hôtel Oliv
534,Pokhara,NP,79.25,few clouds,28.23,83.98,Kaushal Hotel
535,Pitimbu,BR,79.39,broken clouds,-7.47,-34.81,Pousada Brisa Mar
536,Bathsheba,BB,79.41,broken clouds,13.22,-59.52,Round House Inn
537,Honiara,SB,79.45,overcast clouds,-9.43,159.95,Coral Sea Resort & Casino
538,Cabedelo,BR,79.47,scattered clouds,-6.98,-34.83,No hotel found
539,Wé,NC,79.66,clear sky,-20.92,167.26,Drehu Village
540,Alofi,NU,79.68,light rain,-19.06,-169.92,No hotel found
541,Alugan,PH,79.7,broken clouds,12.22,125.48,No hotel found
542,Byron Bay,AU,79.72,broken clouds,-28.65,153.62,Lord Byron Resort
543,Inhambane,MZ,79.77,light rain,-23.86,35.38,Grão Capitão
544,Atuona,PF,79.83,broken clouds,-9.8,-139.03,Pearl Resort
545,Koumac,NC,79.93,broken clouds,-20.57,164.28,Le Grand cerf
546,Ibrā’,OM,80.1,broken clouds,22.69,58.53,الدكيك
547,Port Augusta,AU,80.33,clear sky,-32.5,137.77,Hotel Commonwealth
548,Mount Isa,AU,80.37,light rain,-20.73,139.5,Ibis Styles
549,Bengkulu,ID,80.44,overcast clouds,-3.8,102.27,No hotel found
550,Meulaboh,ID,80.47,overcast clouds,4.14,96.13,Hotel Meuligou
551,Boa Vista,BR,80.58,clear sky,2.82,-60.67,Aipana Plaza Hotel
552,Tiarei,PF,80.62,light rain,-17.53,-149.33,No hotel found
553,Kaberamaido,UG,80.64,broken clouds,1.74,33.16,No hotel found
554,Padang,ID,80.65,moderate rain,-0.95,100.35,losmen Surya
555,Pemangkat,ID,80.71,overcast clouds,1.17,108.97,Hotel Kelapa Gading
556,Poum,NC,80.74,scattered clouds,-20.23,164.02,No hotel found
557,Boussé,BF,80.74,overcast clouds,12.66,-1.89,No hotel found
558,Gigmoto,PH,80.85,scattered clouds,13.78,124.39,No hotel found
559,Luganville,VU,80.96,scattered clouds,-15.53,167.17,Beachfront Resort
560,Atambua,ID,81.25,scattered clouds,-9.11,124.89,Hotel Kingstar
561,Wukari,NG,81.27,overcast clouds,7.85,9.78,No hotel found
562,Thinadhoo,MV,81.5,broken clouds,0.53,72.93,No hotel found
563,Lufilufi,WS,81.52,light rain,-13.87,-171.6,No hotel found
564,Tulagi,SB,81.73,overcast clouds,-9.1,160.15,No hotel found
565,Biak,ID,81.79,broken clouds,-0.91,122.88,No hotel found
566,Manuk Mangkaw,PH,81.81,broken clouds,4.8,119.85,No hotel found
567,Carnarvon,AU,81.81,clear sky,-24.87,113.63,No hotel found
568,Victoria,SC,81.82,light rain,-4.62,55.45,Hilltop Boutique Hotel
569,Kieta,PG,81.84,moderate rain,-6.22,155.63,No hotel found
570,Kidal,ML,81.9,few clouds,18.44,1.41,No hotel found
571,Mersing,MY,81.93,overcast clouds,2.43,103.84,Mersing Inn Hotel
572,Bandarbeyla,SO,81.97,clear sky,9.49,50.81,No hotel found
573,Hithadhoo,MV,81.99,broken clouds,-0.6,73.08,Pebbles Inn
574,Hithadhoo,MV,81.99,broken clouds,-0.6,73.08,Pebbles Inn
575,Lakki,PK,82.06,clear sky,32.61,70.91,No hotel found
576,Kavaratti,IN,82.09,clear sky,10.57,72.64,No hotel found
577,Sokoni,TZ,82.11,overcast clouds,-6.43,39.55,La Madrugada Beach Hotel
578,Butaritari,KI,82.11,scattered clouds,3.07,172.79,No hotel found
579,Aitape,PG,82.24,light rain,-3.14,142.35,No hotel found
580,Bafoulabé,ML,82.26,overcast clouds,13.81,-10.83,No hotel found
581,Gao,ML,82.31,broken clouds,16.64,1.64,No hotel found
582,Sambava,MG,82.36,overcast clouds,-14.27,50.17,Pacifique
583,Ambilobe,MG,82.4,light rain,-13.2,49.05,Hôtel National
584,Gaoua,BF,82.58,overcast clouds,10.3,-3.25,No hotel found
585,Manokwari,ID,82.58,scattered clouds,-0.87,134.08,Hotel Arfak
586,Nabire,ID,82.71,overcast clouds,-3.37,135.48,Hotel Anggrek
587,Souillac,MU,82.78,light rain,-20.52,57.52,Hotel SkylineInn
588,Sur,OM,82.8,overcast clouds,22.57,59.53,Sur Hotel
589,Tual,ID,82.85,overcast clouds,-5.67,132.75,Suita
590,Fare,PF,82.99,overcast clouds,-16.7,-151.02,hôtel Maitai Lapita Village
591,Faanui,PF,83.03,broken clouds,-16.48,-151.75,Oa Oa Lodge
592,Kavieng,PG,83.28,light rain,-2.57,150.8,Kavieng Niu Lodge
593,Majene,ID,83.28,broken clouds,-3.54,118.97,No hotel found
594,Vanimo,PG,83.34,light rain,-2.67,141.3,CBC Guesthouse
595,Saint-Joseph,RE,83.46,light rain,-21.37,55.62,No hotel found
596,Namatanai,PG,83.53,light rain,-3.67,152.43,Namatanai Hotel
597,Bosaso,SO,83.59,clear sky,11.28,49.18,SBC
598,Ternate,ID,83.64,overcast clouds,0.8,127.4,Boulivard ternate
599,Sibolga,ID,83.7,moderate rain,1.74,98.78,Hotel Prima Indah
600,Saint-Philippe,RE,83.79,light rain,-21.36,55.77,Le Baril
601,Bandipur,IN,83.86,clear sky,11.67,76.63,Nilgiri Resort
602,Khowai,IN,83.98,broken clouds,24.1,91.63,No hotel found
603,Mogadishu,SO,84.07,scattered clouds,2.04,45.34,Villa Rays Restaurant & Hotel
604,Bac Lieu,VN,84.09,broken clouds,9.29,105.72,Nhà khách UBND tỉnh Bạc Liêu
605,San Nicolas,PH,84.11,few clouds,18.17,120.6,Pamulinawen Hotel
606,Cukai,MY,84.15,overcast clouds,4.25,103.42,Hotel Shafura 2
607,Amahai,ID,84.2,light rain,-3.33,128.92,Onemay Hotel
608,Bambous Virieux,MU,84.22,light rain,-20.34,57.76,No hotel found
609,Kampot,KH,84.25,broken clouds,10.62,104.18,Sambor Sambat Guesthouse
610,Mahébourg,MU,84.25,light rain,-20.41,57.7,Grand Bel Air
611,Quatre Cocos,MU,84.31,light rain,-20.21,57.76,Horisun
612,Grand Gaube,MU,84.38,scattered clouds,-20.01,57.66,Hotel Lux- Grand Gaube
613,Merauke,ID,84.4,few clouds,-8.47,140.33,No hotel found
614,Cap Malheureux,MU,84.47,clear sky,-19.98,57.61,Hotel Coin de Mire Attitude
615,Samarai,PG,84.54,broken clouds,-10.62,150.67,No hotel found
616,Geraldton,AU,84.61,clear sky,-28.77,114.6,Ocean Centre Hotel
617,Galle,LK,84.61,overcast clouds,6.04,80.22,Lady Hill
618,Kollo,NE,84.63,overcast clouds,13.3,2.34,No hotel found
619,Kloulklubed,PW,84.7,overcast clouds,7.04,134.26,The Adventures Inn
620,Nhulunbuy,AU,84.81,overcast clouds,-12.23,136.77,No hotel found
621,Alyangula,AU,84.97,clear sky,-13.85,136.42,No hotel found
622,Madang,PG,85.05,broken clouds,-5.22,145.8,Madang Star International
623,Jizan,SA,85.14,scattered clouds,17.33,42.67,No hotel found
624,Amla,IN,85.17,clear sky,21.93,78.12,No hotel found
625,Balikpapan,ID,85.19,few clouds,-1.27,116.83,Hotel Grand Tiga Mustika
626,Karangampel,ID,85.21,scattered clouds,-6.46,108.45,No hotel found
627,Maningrida,AU,85.37,few clouds,-12.07,134.27,No hotel found
628,Northam,AU,85.51,few clouds,-31.67,116.67,Farmers' Home Hotel
629,Ingham,AU,85.87,few clouds,-18.65,146.17,Station Hotel
630,Saint-Pierre,RE,85.91,clear sky,-21.34,55.48,Tropic Hotel
631,Pontianak,ID,85.98,scattered clouds,-0.03,109.33,Golden Tulip Hotel
632,Port Blair,IN,86.04,haze,11.67,92.75,Lighthouse Residency
633,Waingapu,ID,86.05,clear sky,-9.66,120.26,Hotel Jemmy
634,Isangel,VU,86.11,scattered clouds,-19.55,169.27,Tanna Lodge
635,Saint-Denis,RE,86.11,few clouds,-20.87,55.47,Hôtel du Centre
636,Ambon City,ID,86.14,scattered clouds,-3.7,128.18,Penginapan Asri
637,Flinders,AU,86.18,light rain,-34.58,150.86,No hotel found
638,Manat,PH,86.23,scattered clouds,7.53,126.02,No hotel found
639,Le Port,RE,86.25,clear sky,-20.94,55.29,No hotel found
640,Vite,IN,86.47,clear sky,17.28,74.55,No hotel found
641,Mandera,KE,86.88,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
642,Townsville,AU,86.88,scattered clouds,-19.25,146.8,Aquarius on the Beach
643,Narwar,IN,86.95,clear sky,25.65,77.9,No hotel found
644,Mildura,AU,87.08,clear sky,-34.2,142.15,Chaffey Motor Inn
